city,region
Москва,Москва и Московская обл.
Абрамцево,Москва и Московская обл.
Алабино,Москва и Московская обл.
Апрелевка,Москва и Московская обл.
Архангельское,Москва и Московская обл.
Ашитково,Москва и Московская обл.
Байконур,Москва и Московская обл.
Бакшеево,Москва и Московская обл.
Балашиха,Москва и Московская обл.
Барыбино,Москва и Московская обл.
Белоомут,Москва и Московская обл.
Белые Столбы,Москва и Московская обл.
Бородино,Москва и Московская обл.
Бронницы,Москва и Московская обл.
Быково,Москва и Московская обл.
Валуево,Москва и Московская обл.
Вербилки,Москва и Московская обл.
Верея,Москва и Московская обл.
Видное,Москва и Московская обл.
Внуково,Москва и Московская обл.
Вождь Пролетариата,Москва и Московская обл.
Волоколамск,Москва и Московская обл.
Вороново,Москва и Московская обл.
Воскресенск,Москва и Московская обл.
Восточный,Москва и Московская обл.
Востряково,Москва и Московская обл.
Высоковск,Москва и Московская обл.
Голицино,Москва и Московская обл.
Деденево,Москва и Московская обл.
Дедовск,Москва и Московская обл.
Джержинский,Москва и Московская обл.
Дмитров,Москва и Московская обл.
Долгопрудный,Москва и Московская обл.
Домодедово,Москва и Московская обл.
Дорохово,Москва и Московская обл.
Дрезна,Москва и Московская обл.
Дубки,Москва и Московская обл.
Дубна,Москва и Московская обл.
Егорьевск,Москва и Московская обл.
Железнодорожный,Москва и Московская обл.
Жилево,Москва и Московская обл.
Жуковский,Москва и Московская обл.
Загорск,Москва и Московская обл.
Загорянский,Москва и Московская обл.
Запрудная,Москва и Московская обл.
Зарайск,Москва и Московская обл.
Звенигород,Москва и Московская обл.
Зеленоград,Москва и Московская обл.
Ивантеевка,Москва и Московская обл.
Икша,Москва и Московская обл.
Ильинский,Москва и Московская обл.
Истра,Москва и Московская обл.
Калининград,Москва и Московская обл.
Кашира,Москва и Московская обл.
Керва,Москва и Московская обл.
Климовск,Москва и Московская обл.
Клин,Москва и Московская обл.
Клязьма,Москва и Московская обл.
Кожино,Москва и Московская обл.
Кокошкино,Москва и Московская обл.
Коломна,Москва и Московская обл.
Колюбакино,Москва и Московская обл.
Королев,Москва и Московская обл.
Косино,Москва и Московская обл.
Котельники,Москва и Московская обл.
Красково,Москва и Московская обл.
Красноармейск,Москва и Московская обл.
Красногорск,Москва и Московская обл.
Краснозаводск,Москва и Московская обл.
Краснознаменск,Москва и Московская обл.
Красный Ткач,Москва и Московская обл.
Крюково,Москва и Московская обл.
Кубинка,Москва и Московская обл.
Купавна,Москва и Московская обл.
